"","title","abstract","year","journal","Annotation"
"6656","Perceiving Prospects Properly","When an agent chooses between prospects, noise in information processing generates an effect akin to the winner's curse. Statistically unbiased perception systematically overvalues the chosen action because it fails to account for the possibility that noise is responsible for making the preferred action appear to be optimal. The optimal perception pattern exhibits a key feature of prospect theory, namely, overweighting of small probability events (and corresponding underweighting of high probability events). This bias arises to correct for the winner's curse effect.",2016,"AER","No Woman"
"6657","The Surprisingly Swift Decline of US Manufacturing Employment","This paper links the sharp drop in US manufacturing employment after 2000 to a change in US trade policy that eliminated potential tariff increases on Chinese imports. Industries more exposed to the change experience greater employment loss, increased imports from China, and higher entry by US importers and foreign-owned Chinese exporters. At the plant level, shifts toward less labor-intensive production and exposure to the policy via input-output linkages also contribute to the decline in employment. Results are robust to other potential explanations of employment loss, and there is no similar reaction in the European Union, where policy did not change.",2016,"AER","No Woman"
"6658","Network Structure and the Aggregation of Information: Theory and Evidence from Indonesia","We use unique data from over 600 Indonesian communities on what individuals know about the poverty status of others to study how network structure influences information aggregation. We develop a model of semi-Bayesian learning on networks, which we structurally estimate using within-village data. The model generates qualitative predictions about how cross-village patterns of learning relate to network structure, which we show are borne out in the data. We apply our findings to a community-based targeting program, where citizens chose households to receive aid, and show that the networks that the model predicts to be more diffusive differentially benefit from community targeting.",2016,"AER","Woman"
"6659","CoVaR","CoVaR, defined as the change in the value at risk of the financial system conditional on an institution being under distress relative to its median state. Our estimates show that characteristics such as leverage, size, maturity mismatch, and asset price booms significantly predict CoVaR. We also provide out-of-sample forecasts of a countercyclical, forward-looking measure of systemic risk, and show that the 2006:IV value of this measure would have predicted more than one-third of realized CoVaR during the 2007-2009 financial crisis.",2016,"AER","No Woman"
"6660","Interest Rates and Equity Extraction during the Housing Boom","Credit record panel data from 1999-2010 indicates that the likelihood of home equity extraction (borrowing, on average, about $40,000 against one's home) peaked in 2003 when mortgage rates reached historic lows. We estimate a 27 percent rise in extraction in response to a 100 basis point rate decline, and that house price growth amplifies this relationship. Differential responses to interest rates and home price appreciation by borrower age and credit score provide new evidence of financial frictions. Finally, equity extractions are associated with higher default risk, consistent with the use of borrowed funds for consumption or illiquid investment.",2016,"AER","No Woman"
"6661","Experiments on Decisions under Uncertainty: A Theoretical Framework","The analysis of lab data entails a joint test of the underlying theory and of subjects' conjectures regarding the experimental design itself, how subjects frame the experiment. We provide a theoretical framework for analyzing such conjectures. We use experiments of decision making under uncertainty as a case study. Absent restrictions on subjects' framing of the experiment, we show that any behavior is consistent with standard updating (""anything goes""), including those suggestive of anomalies such as overconfidence, excess belief stickiness, etc. When the experimental protocol restricts subjects' conjectures (plausibly, by generating information during the experiment), standard updating has nontrivial testable implications.",2016,"AER","Woman"
"6662","The Long-Run Effects of the Scramble for Africa","We explore the consequences of ethnic partitioning, a neglected aspect of the Scramble for Africa, and uncover the following. First, apart from the land mass and water bodies, split and non-split groups are similar across several dimensions. Second, the incidence, severity, and duration of political violence are all higher for partitioned homelands which also experience frequent military interventions from neighboring countries. Third, split groups are often entangled in a vicious circle of government-led discrimination and ethnic wars. Fourth, respondents from survey data identifying with split ethnicities are economically disadvantaged. The evidence highlights the detrimental repercussions of the colonial border design.",2016,"AER","No Woman"
"6663","Discounts as a Barrier to Entry","To what extent can an incumbent manufacturer use discount contracts to foreclose efficient entry? We show that off-list-price rebates that do not commit buyers to unconditional transfers--like the rebates in EU Commission v. Michelin II, for instance--cannot be anticompetitive. This is true even in the presence of cost uncertainty, scale economies, or intense downstream competition, all three market settings where exclusion has been shown to emerge with exclusive dealing contracts. The difference stems from the fact that, unlike exclusive dealing provisions, rebates do not contractually commit retailers to exclusivity when signing the contract.",2016,"AER","No Woman"
"6664","Charters without Lotteries: Testing Takeovers in New Orleans and Boston","Charter takeovers are traditional public schools restarted as charter schools. We develop a grandfathering instrument for takeover attendance that compares students at schools designated for takeover with a matched sample of students attending similar schools not yet taken over. Grandfathering estimates from New Orleans show substantial gains from takeover enrollment. In Boston, grandfathered students see achievement gains at least as large as the gains for students assigned charter seats in lotteries. A non-charter Boston turnaround intervention that had much in common with the takeover strategy generated gains as large as those seen for takeovers, while other more modest turnaround interventions yielded smaller effects.",2016,"AER","No Woman"
"6665","Sequential Markets, Market Power, and Arbitrage","We develop a framework to characterize strategic behavior in sequential markets under imperfect competition and restricted entry in arbitrage. Our theory predicts that these two elements can generate a systematic price premium. We test the model predictions using microdata from the Iberian electricity market. We show that the observed price differences and firm behavior are consistent with the model. Finally, we quantify the welfare effects of arbitrage using a structural model. In the presence of market power, we show that full arbitrage is not necessarily welfare-enhancing, reducing consumer costs but increasing deadweight loss.",2016,"AER","No Woman"
"6666","Tracing Value-Added and Double Counting in Gross Exports: Comment","In a recent contribution to the AER, Koopman, Wang, and Wei (2014) proposed a decomposition of a country's gross exports into value-added components and double-counted terms. It is motivated by complex manipulation of basic accounting identities. In this comment we provide an alternative framework based on ""hypothetical extraction."" This parsimonious approach provides a clear definition of domestic value added in exports and has a natural extension into decompositions of bilateral export flows.",2016,"AER","No Woman"
"6667","Measuring and Understanding Behavior, Welfare, and Poverty","Angus Deaton delivered his Prize Lecture on Tuesday 8 December 2015, at the Aula Magna, Stockholm University. These are the lecture slides.(This abstract was borrowed from another version of this item.)",2016,"AER","No Woman"
"6668","Do Schools Matter for High Math Achievement? Evidence from the American Mathematics Competitions","This paper uses data from the American Mathematics Competitions to examine the rates at which different high schools produce high-achieving math students. There are large differences in the frequency with which students from seemingly similar schools reach high achievement levels. The distribution of unexplained school effects includes a thick tail of schools that produce many more high-achieving students than is typical. Several additional analyses suggest that the differences are not primarily due to unobserved differences in student characteristics. The differences are persistent across time, suggesting that differences in the effectiveness of educational programs are not primarily due to direct peer effects.",2016,"AER","No Woman"
"6669","Too-Systemic-to-Fail: What Option Markets Imply about Sector-Wide Government Guarantees","We examine the pricing of financial crash insurance during the 2007-2009 financial crisis in US option markets, and we show that a large amount of aggregate tail risk is missing from the cost of financial sector crash insurance during the crisis. The difference in costs between out-of-the-money put options for individual banks and puts on the financial sector index increases four-fold from its precrisis 2003-2007 level. We provide evidence that a collective government guarantee for the financial sector lowers index put prices far more than those of individual banks and explains the increase in the basket-index put spread.",2016,"AER","No Woman"
"6670","Agricultural Productivity and Structural Transformation: Evidence from Brazil","We study the effects of the adoption of new agricultural technologies on structural transformation. To guide empirical work, we present a simple model where the effect of agricultural productivity on industrial development depends on the factor-bias of technical change. We test the predictions of the model by studying the introduction of genetically engineered soybean seeds in Brazil, which had heterogeneous effects on agricultural productivity across areas with different soil and weather characteristics. We find that technical change in soy production was strongly labor-saving and led to industrial growth, as predicted by the model.",2016,"AER","Woman"
"6671","The Demand for Energy-Using Assets among the World's Rising Middle Classes","We study household decisions to acquire energy-using assets in the presence of rising incomes. We develop a theoretical framework to characterize the effect of income growth on asset purchases when consumers face credit constraints. We use large and plausibly exogenous shocks to household income generated by the conditional-cash-transfer program in Mexico, Oportunidades, to show that asset acquisition is nonlinear, depends, as predicted in the presence of credit constraints, on the pace of income growth, and both effects are economically large among beneficiaries. Our results may help explain important worldwide trends in the relationship between energy use and income growth.",2016,"AER","Woman"
"6672","Domestic Value Added in Exports: Theory and Firm Evidence from China","China has defied the declining trend in domestic content in exports in many countries. This paper studies China's rising domestic content in exports using firm- and customs transaction-level data. The approach embraces firm heterogeneity and hence reduces aggregation bias. The study finds that the substitution of domestic for imported materials by individual processing exporters caused China's domestic content in exports to increase from 65 to 70 percent in the period 2000-2007. Such substitution was induced by the country's trade and investment liberalization, which deepened its engagement in global value chains and led to a greater variety of domestic materials becoming available at lower prices.",2016,"AER","Woman"
"6673","Attention Discrimination: Theory and Field Experiments with Monitoring Information Acquisition","We integrate tools to monitor information acquisition in field experiments on discrimination and examine whether gaps arise already when decision makers choose the effort level for reading an application. In both countries we study, negatively stereotyped minority names reduce employers' effort to inspect resumes. In contrast, minority names increase information acquisition in the rental housing market. Both results are consistent with a model of endogenous allocation of costly attention, which magnifies the role of prior beliefs and preferences beyond the one considered in standard models of discrimination. The findings have implications for magnitude of discrimination, returns to human capital and policy.",2016,"AER","Woman"
"6674","Measuring Discounting without Measuring Utility","We introduce a new method to measure the temporal discounting of money. Unlike preceding methods, our method requires neither knowledge nor measurement of utility. It is easier to implement, clearer to subjects, and requires fewer measurements than existing methods.",2016,"AER","No Woman"
"6675","Does Affirmative Action Work? Caste, Gender, College Quality, and Academic Success in India","Public policy in modern India features affirmative action programs intended to reduce inequality that stems from a centuries-old caste structure and history of disparate treatment by gender. We study the effects of one such affirmative action program: an admissions policy that fixes percentage quotas, common across more than 200 engineering colleges, for disadvantaged castes and for women. We show that the program increases college attendance of targeted students, particularly at relatively higher-quality institutions. An important concern is that affirmative action might harm intended beneficiaries by placing them in academic programs for which they are ill-prepared. We find no evidence of such adverse impacts.",2016,"AER","No Woman"
"6676","Rational Inattention and Organizational Focus","This paper studies optimal communication flows in organizations. A production process can be coordinated ex ante, by letting agents stick to a prespecified plan of action. Alternatively, agents may adapt to task-specific shocks, in which case tasks must be coordinated ex post, using communication. When attention is scarce, an optimal organization coordinates only a few tasks ex post. Those tasks are higher performing, more adaptive to the environment, and influential. Hence, scarce attention requires setting priorities, not just local optimization. Our results provide microfoundations for a central idea in the management literature that firms should focus on a limited set of core competencies.",2016,"AER","No Woman"
"6677","Technological Innovations, Downside Risk, and the Modernization of Agriculture","We use a randomized experiment in India to show that improved technology enhances agricultural productivity by crowding in modern inputs and cultivation practices. Specifically, we show that a new rice variety that reduces downside risk by providing flood tolerance has positive effects on adoption of a more labor-intensive planting method, area cultivated, fertilizer usage, and credit utilization. We find that a large share of the expected gains from the technology comes from crowding in of other investments. Therefore, improved technologies that reduce risk by protecting production in bad years have the potential to increase agricultural productivity in normal years.",2016,"AER","Woman"
"6678","Restoring Rational Choice: The Challenge of Consumer Financial Regulation","This lecture considers the case for consumer financial regulation in an environment where many households lack the knowledge to manage their financial affairs effectively. The lecture argues that financial ignorance is pervasive and unsurprising given the complexity of modern financial products, and that it contributes meaningfully to the evolution of wealth inequality. The lecture uses a stylized model to discuss the welfare economics of paternalistic intervention in financial markets, and discusses several specific examples including asset allocation in retirement savings, fees for unsecured short-term borrowing, and reverse mortgages.",2016,"AER","No Woman"
"6679","The Phillips Curve: Back to the '60s?","This paper reexamines the behavior of inflation and unemployment and reaches four conclusions: 1) The U.S. Phillips curve is alive and well (at least as well as in the past). 2) Inflation expectations however have become steadily more anchored. 3) The slope of the curve has substantially declined. But the decline dates back to the 1980s rather than to the crisis. 4) The standard error of the residual in the relation is large, especially in comparison to the low level of inflation. Each of the four conclusions presents challenges for the conduct of monetary policy.",2016,"AER","No Woman"
"6680","Dealing with Long-Term Deficits","The United States faces a rising future ratio of debt to GDP that, if allowed to continue, would have serious adverse consequences for the American economy. Fortunately, policy changes can increase the size of the future GDP and shrink the future budget deficits. Relatively small reductions in future annual deficits could reverse the increasing ratio of national debt to GDP. Those annual deficit reductions could be best achieved by slowing the growth of Social Security and Medicare and by raising revenue by limiting tax expenditures or increasing the tax on gasoline.",2016,"AER","No Woman"
"6681","Monetary Policy, Financial Stability, and the Zero Lower Bound","Much has happened in the world of central banking in the past decade. In this paper, I focus on three issues associated with the zero lower bound (ZLB) on short-term nominal interest rates and the nexus between monetary policy and financial stability: 1) whether we are moving toward a permanently lower long-run equilibrium real interest rate; 2) what steps can be taken to mitigate the constraints imposed by the ZLB; and 3) whether and how financial stability considerations should be incorporated in the conduct of monetary policy. These important topics deserve the attention of both academic and government professionals.",2016,"AER","No Woman"
"6682","How to Restore Equitable and Sustainable Economic Growth in the United States","Today's weakness in the US economy results from lack of aggregate demand, due to high and growing inequality, underinvestment in public infrastructure and technology that is complementary to private capital, continuing mild austerity, difficulties encountered in making the structural transformation from manufacturing to a service-based economy, and a financial sector failing to provide adequate funds to SMEs. An agenda to restore growth includes a carbon price, inducing climate investments; increased public investments in infrastructure and technology; fighting inequality through redistribution and rewriting the rules structuring the economy; and reforming the financial sector and the global reserve system.",2016,"AER","No Woman"
"6683","Can We Restart the Recovery All Over Again?","Many have argued that a deviation from good economic policy has been a cause of the poor U.S. economic performance of the past decade and that policy reforms are needed to restore strong growth. Yet others argue that the recent stagnation is secular or that the possibility of a rapid recovery is long gone without more fiscal stimulus. Here I show that unusual economic conditions leave plenty of room for a reform-induced rebound. Taking demographics and the growth of capital services into account, labor force participation and productivity growth are unusually low. Hence, policy reforms could generate a post-recession-like acceleration as well as sustained growth and stability.",2016,"AER","No Woman"
"6684","A Century of Growth and Improvement","The fact that actual economic advance over time normally means producing and consuming different things is usually left implicit in modern models of economic growth. By contrast, qualitative change--new goods and services, and better versions of what already existed--is central to Robert Gordon's history of the improvement of American living standards since 1870. A major contribution of his fine-grained account of this experience is to make clear what this improvement has meant, and why it has mattered to ordinary citizens.",2016,"AER","No Woman"
"6685","The Rise and Fall of American Growth: Exploring the Numbers","This paper reviews some of the major claims in Robert Gordon's Rise and Fall of American Growth. His argument that growth of conventional real GDP per person is well below that of real living standards is accepted. It is shown that adding an imputation to GDP for reductions in mortality raises growth substantially, especially between 1929 and 1950. Gordon is also right that total factor productivity growth peaked in the second and third quarters of the twentieth century but his claim that there was a ""great leap forward"" in the 1940s, stimulated by World War 2, is not persuasive.",2016,"AER","No Woman"
"6686","State Capacity and American Technology: Evidence from the Nineteenth Century","Robert Gordon's The Rise and Fall of American Economic Growth compellingly shows how technical innovation, stimulated by the country's institutions, has radically improved the living standards of the citizens of the US. We conduct an empirical investigation of the impact of the capacity of the US state, as proxied by the presence of post offices, on innovation. We show that there is a strong association between the number of post offices in a county and patenting activity. Our evidence suggests that part of story of US innovation is the capacity and reach of the US state.",2016,"AER","No Woman"
"6687","Winter Is Coming: Robert Gordon and the Future of Economic Growth","This comment assesses the claim of The Rise and Fall of American Growth that for coming decades, growth in US TFP will continue the disappointing pace of the last decade. While predicting future technological advance is difficult, there are indications that Gordon may actually be too optimistic on future TFP growth. The share of output from manufacturing, which still generates the majority of R&D expenditures, and has historically more rapid TFP growth, will continue to fall. There are substantial obstacles to rapid TFP advance in much of the rest of the economy: construction, transport, health care and other services.",2016,"AER","No Woman"
"6688","Perspectives on The Rise and Fall of American Growth","This paper summarizes the book and assesses the reviews contained in the four contributed papers. Gregory Clark provides convincing arguments that extend the book's forecast that future technological change will be slower. Nicholas Crafts shows declining mortality and shorter work hours greatly increase welfare-augmented TFP growth during 1929-50. Benjamin Friedman points out that optimism about future technological change casts doubt on future employment growth, while technological pessimism implies employment optimism. Daron Acemoglu and co-authors emphasize the institutional environment that influences the timing and magnitude of innovation.",2016,"AER","No Woman"
"6689","Infrastructure, Incentives, and Institutions","Expensive infrastructure is ineffective if it doesn't travel the last mile. In nineteenth-century New York and modern Africa, disease has spread when urbanites chose not to use newly built sanitation infrastructure to save money. Either subsidies or Pigouvian fines can internalize the externalities that occur when people don't use sanitation infrastructure, but with weak institutions subsidies generate waste and fines lead to extortion. Our model illustrates the complementarity between infrastructure and institutions and shows how institutional weaknesses determine whether fines, subsidies, both or neither are optimal. Contrary to Becker (1968), the optimal fine is often mild to reduce extortion.",2016,"AER","Woman"
"6690","Guns, Latrines, and Land Reform: Dynamic Pigouvian Taxation","Dynamically and statically optimal Pigouvian subsidies and taxes on durables will differ in a growing economy. In a dynamic game, consumers may delay purchasing durables with positive externalities, such as latrines, anticipating greater future subsidies. Governments can most cheaply induce optimal purchasing by commiting to make subsidies temporary. Foreign donors may make commitment impossible, generating delays in private investment that more than fully offset the social benefits of transfers. Anticipated future taxes or regulation of durables with negative externalities, such as guns, may encourage current purchase, potentially causing policymakers who would otherwise prefer taxes or regulation to abandon such policies.",2016,"AER","No Woman"
"6691","Appliance Ownership and Aspirations among Electric Grid and Home Solar Households in Rural Kenya","In Sub-Saharan Africa, there are active debates about whether increases in energy access should be driven by investments in electric grid infrastructure or small-scale ""home solar"" systems (e.g., solar lanterns and solar home systems). We summarize the results of a household electrical appliance survey and describe how households in rural Kenya differ in terms of appliance ownership and aspirations. Our data suggest that home solar is not a substitute for grid power. Furthermore, the environmental advantages of home solar are likely to be relatively small in countries like Kenya, where grid power is primarily derived from non-fossil fuel sources.",2016,"AER","Woman"
"6692","Firm-Level Dispersion in Productivity: Is the Devil in the Details?","We explore current interpretations of firm-level dispersion in revenue-based productivity measures. Since revenue function estimates using proxy methods differ from factor elasticities, the residual emerging from this method remains a combination of demand and technical effciency shocks, and is not equal to the concept of revenue productivity that plays an important role in recent literature on misallocation. This has implications for applications where measured revenue productivity dispersion is used as an indicator of misallocation. Our empirical evidence suggests, under iso-elastic demand, measured dispersion may indicate either distortions or variation in demand shocks and technical effciency or all of the above.",2016,"AER","Woman"
"6693","Productivity Dispersion in Medicine and Manufacturing","The conventional wisdom in health economics is that large differences in average productivity across US hospitals are the result of idiosyncratic features of the healthcare sector which dull the role of market forces. Strikingly, however, we find that productivity dispersion in heart attack treatment across hospitals is, if anything, smaller than in narrowly defined manufacturing industries such as ready-mixed concrete. While this fact admits multiple interpretations, it suggests that healthcare may have more in common with ""traditional"" sectors than is often assumed, and relatedly, that insights from research on productivity and allocation in other sectors may enrich analysis of healthcare.",2016,"AER","Woman"
"6694","Market Regulations, Prices, and Productivity","This study is, to our knowledge, the first attempt to infer the consequences on productivity entailed by anticompetitive regulations in product and labor markets through their impacts on production prices and wages. Results show that changes in production prices and wages at country*industry levels are informative about the creation of rents impeding productivity in different ways and to different extents. A simulation based on OECD regulation indicators suggests that nearly all countries could expect sizeable gains in multifactor productivity from the implementation of large structural reform programs changing anticompetitive regulation practices on product and labor markets.",2016,"AER","No Woman"
"6695","Regulation, Institutions, and Productivity: New Macroeconomic Evidence from OECD Countries","This paper seeks to understand the drivers of country-level multi-factor productivity (MFP) with a special emphasis on product and labour market policies and the quality of institutions. For a panel of OECD countries, we find that anticompetitive product market regulations reduce MFP levels and that higher innovation intensity and greater openness result in higher MFP. We also find that the impact of product market regulations on MFP may depend on the level of labour market regulations. Better institutions, a more business friendly environment and lower barriers to trade and investment amplify the positive impact of R&D spending on MFP. Finally, we also show that cross-country MFP variations can be explained to a considerable extent by cross-country variation in labour market regulations, barriers to trade and investment and institutions.",2016,"AER","No Woman"
"6696","Crowdsourcing City Government: Using Tournaments to Improve Inspection Accuracy","The proliferation of big data makes it possible to better target city services like hygiene inspections, but city governments rarely have the in-house talent needed for developing prediction algorithms. Cities could hire consultants, but a cheaper alternative is to crowdsource competence by making data public and offering a reward for the best algorithm. A simple model suggests that open tournaments dominate consulting contracts when cities can tolerate risk and when there is enough labor with low opportunity costs. We also report on an inexpensive Boston-based restaurant tournament, which yielded algorithms that proved reasonably accurate when tested ""out-of-sample"" on hygiene inspections.",2016,"AER","No Woman"
"6697","Personalized Risk Assessments in the Criminal Justice System","In an effort to bring greater efficiency, equity, and transparency to the criminal justice system, statistical risk assessment tools are increasingly used to inform bail, sentencing, and parole decisions. We examine New York City's stop-and-frisk program, and propose two new use cases for personalized risk assessments. First, we show that risk assessment tools can help police officers make considerably better real-time stop decisions. Second, we show that such tools can help audit past actions; in particular, we argue that a sizable fraction of police stops were conducted on the basis of little evidence, in possible violation of constitutional protections.",2016,"AER","No Woman"
"6698","Productivity and Selection of Human Capital with Machine Learning","Economists have become increasingly interested in studying the nature of production functions in social policy applications, with the goal of improving productivity. Traditionally models have assumed workers are homogenous inputs. However, in practice, substantial variability in productivity means the marginal productivity of labor depends substantially on which new workers are hired--which requires not an estimate of a causal effect, but rather a prediction. We demonstrate that there can be large social welfare gains from using machine learning tools to predict worker productivity, using data from two important applications - police hiring and teacher tenure decisions.",2016,"AER","No Woman"
"6699","Cities Are Physical Too: Using Computer Vision to Measure the Quality and Impact of Urban Appearance","For social scientists, developing an empirical connection between the physical appearance of a city and the behavior and health of its inhabitants has proved challenging due to a lack of data on urban appearance. Can we use computers to quantify urban appearance from street-level imagery? We describe Streetscore: a computer vision algorithm that measures the perceived safety of streetscapes. Using Streetscore to evaluate 19 American cities, we find that the average perceived safety has a strong positive correlation with population density and household income; and the variation in perceived safety has a strong positive correlation with income inequality.",2016,"AER","No Woman"
"6700","The Rapid Adoption of Data-Driven Decision-Making","We provide a systematic empirical study of the diffusion and adoption patterns of data-driven decision making (DDD) in the U.S. Using data collected by the Census Bureau for a large representative sample of manufacturing plants, we find that DDD rates nearly tripled (11%-30%) between 2005 and 2010. This rapid diffusion, along with results from a companion paper, are consistent with case-based evidence that DDD tends to be productivity-enhancing. Yet certain plants are significantly more likely to adopt than others. Key correlates of adoption are size, presence of potential complements such as information technology and educated workers, and firm learning.",2016,"AER","Woman"
"6701","Copyright Infringement in the Market for Digital Images","Digital technologies for sharing creative goods create new opportunities for copyright infringement and challenge established enforcement methods. We establish several important facts about the nature of copyright infringement and efforts to settle past infringing use in the market for digital images. Infringement in this, and many other markets, is often uninformed: users may be unaware that their use infringes, and may lack information about the price of a license. The uninformed nature of infringement implies that price may not be the primary factor in the decision to settle past use; in contrast, non-price factors may significantly affect settlement outcomes.",2016,"AER","Woman"
"6702","Agglomeration of Invention in the Bay Area: Not Just ICT","We document that the Bay Area rose from 4% of all successful US patent applications in 1976 to 16% in 2008. This is partly driven by the increase in the prevalence of information and communication technology; however, even for patents unrelated to information and communication technology, we see a disproportionate increase in the share of US patents from the Bay Area. We interpret this growth as a trend to coagglomeration in invention across technologies, and explore different dimensions of this trend.",2016,"AER","No Woman"
"6703","International Data on Measuring Management Practices","We examine methods used to survey firms on their management and organizational practices. We contrast the strengths and weaknesses of ""open ended questions"" (like the World Management Survey) with ""closed questions"" (like the MOPS). For this type of data, open ended questions give higher quality responses, but are more costly than closed question-based surveys.",2016,"AER","Woman"
"6704","Making Private Data Accessible in an Opaque Industry: The Experience of the Private Capital Research Institute","Private markets are becoming an increasingly important way of financing rapidly growing and mature firms, and private investors are reputed to have far-reaching economic impacts. These important markets, however, are uniquely difficult to study. This paper explores these challenges, as well as the ways they can be overcome, using the experiences of the Private Capital Research Institute as a case.",2016,"AER","Woman"
"6705","Modernizing Federal Economic Statistics","Official statistical data on the structure, evolution and performance of the U.S. economy are produced by a variety federal, state and local agencies. Much of the methodology, policy frameworks and infrastructure for U.S. economic measurement have been in place for decades. There are growing concerns that the economy is evolving more rapidly than are the economic statistics we use to monitor it. We discuss both the challenges and opportunities to modernizing federal economic statistics. We describe an incremental approach that federal statistics agencies can follow to build a 21st century economic measurement system.",2016,"AER","No Woman"
"6706","Battling over Jobs: Occupational Licensing in Health Care","The goal of this paper is to outline the major tensions between the monopoly face of licensing versus potential consumer protection goals of occupational regulation in the health care industry. Historically, health care occupations limited supply as a method of raising earnings, but with the growth in the number of newly regulated occupations, many professions have come in conflict over who gets to do the work. Rather than having consumers decide, state legislatures and licensing boards determine the allocation of tasks. The paper outlines policies that may allow consumers rather than service providers determine the direct allocation of these jobs.",2016,"AER","No Woman"
"6707","Should the US Eliminate Entry Barriers to the Practice of Law? Perspectives Shaped by Industry Deregulation","States' requirements that lawyers obtain a license to practice law, as well as American Bar Association (ABA) regulations of legal practice, constitute barriers to entry to the legal profession. In this paper, we argue that eliminating entry barriers in legal services would generate benefits that are similar to those resulting from deregulating U.S. network industries (i.e., transportation, communications, and energy.) Specifically, prices would fall as competition from incumbent firms and new entrants intensifies; in the long run, competitive forces and operating freedom would incentivize firms to produce innovations that significantly benefit consumers and the broader economy.",2016,"AER","No Woman"
"6708","Disruptive Change in the Taxi Business: The Case of Uber","In most cities, the taxi industry is highly regulated and has restricted entry. Ride sharing services, such as Uber and Lyft, which use mobile internet technology to connect passengers and drivers, have begun to compete with traditional taxis. This paper examines the efficiency of ride sharing services vis-a-vis taxis. In most cities with data available, UberX drivers spend a significantly higher fraction of their time, and drive a substantially higher share of miles, with a passenger in their car than do taxi drivers. Reasons for this efficiency advantage are explored.",2016,"AER","No Woman"
"6709","Patents and Research Investments: Assessing the Empirical Evidence","A well-developed theoretical literature--dating back at least to Nordhaus (1969)--has analyzed optimal patent policy design. We re-present the core trade-off of the Nordhaus model and highlight an empirical question which emerges from the Nordhaus framework as a key input into optimal patent policy design: namely, what is the elasticity of R&D investment with respect to the patent term? We then review the--surprisingly small--body of empirical evidence that has been developed on this question over the nearly half century since the publication of Nordhaus's book.",2016,"AER","Woman"
"6710","Patent Licensing, Technology Transfer, and Innovation","Traditional justifications for patents are based on direct or indirect contribution to product creation. Non-practicing entities (NPEs) might provide such innovation, either directly, through working the patent or transfer of technology to others who do, or indirectly, when others copy. Available evidence suggests, however, that ex post licensing demands from NPEs do not normally involve these activities. Some have argued that patents are valuable without technology transfer because the ability to exclude may drive commercialization that would not otherwise occur. We demonstrate that even if commercialization theories sometimes justify patent protection, they cannot justify most NPE lawsuits or licensing demands.",2016,"AER","No Woman"
"6711","Patent Quality and Examination in Europe","This paper reports on effects of recent administrative reforms at the European Patent Office (EPO). In EPO-granted patents, claims numbers started to decline in 2008 when new claims fees became effective, claims sections in patents became shorter, and independent claims longer and presumably more specific. The grant rate remained at relatively low levels, but the EPO was unable to stem the use of divisional filings. The developments at the EPO point to a high private value of delay options. Delay may be achieved either by making use of explicit statutory rules or by other means, such as filing divisional applications.",2016,"AER","No Woman"
"6712","Patent Remedies","Since the Supreme Court's eBay decision in 2006, the U.S. has employed a hybrid patent remedy system that mixes property and liability rules. When the patent owner and the infringer are competitors, the courts typically issue a permanent injunction requiring the infringer to cease its infringing activities. In contrast, when the patent owner and the infringer are not competitors, the courts often allow the infringer to continue its infringing activities so long as it pays specified ongoing royalties to the patent holder. This article studies the incentives for invention and for new product development in such a hybrid system.",2016,"AER","No Woman"
"6713","Declining Business Dynamism: What We Know and the Way Forward","A growing body of evidence indicates that the U.S. economy has become less dynamic in recent years. This trend is evident in declining rates of gross job and worker flows as well as declining rates of entrepreneurship and young firm activity, and the trend is pervasive across industries, regions, and firm size classes. We describe the evidence on these changes in the U.S. economy by reviewing existing research. We then describe new empirical facts about the relationship between establishment-level productivity and employment growth, framing our results in terms of canonical models of firm dynamics and suggesting empirically testable potential explanations.",2016,"AER","No Woman"
"6714","Wage Posting and Business Cycles","The canonical model of job search and wage posting (Burdett and Mortensen, 1998) establishes a natural connection between the average wage growth in the economy and the pace of Employer-to-Employer (EE) transitions, predicting wage growth to be positively related to the pace of EE reallocation for all workers, but especially for stayers. We verify this empirically both with aggregate time series and with longitudinal micro data from the Survey of Income and Program Participation (SIPP). We argue that monetary authorities concerned with inflationary wage pressure should pay more attention directly to EE reallocation and less to the unemployment rate.",2016,"AER","No Woman"
"6715","Firm Entry and Macroeconomic Dynamics: A State-Level Analysis","Using an annual panel of US states over the period 1982-2014, we estimate the response of macroeconomic variables to a shock to the number of new firms (startups). We find that these shocks have significant effects that persist for many years on real GDP, productivity, and population. This is consistent with simple models of firm dynamics where a ""missing generation"" of firms affects productivity persistently.",2016,"AER","No Woman"
"6716","The Role of Startups in Structural Transformation","The U.S. economy has been going through a striking structural transformation--the secular reallocation of employment across sectors--over the past several decades. We propose a decomposition framework to assess the contributions of various margins of firm dynamics to this shift. Using firm-level data, we find that at least 50 percent of the adjustment has been taking place along the entry margin, due to sectors receiving different shares of startup employment than their employment shares. The rest is mostly due to life cycle differences across sectors. Declining overall entry has a small but growing effect of dampening structural transformation.",2016,"AER","Woman"
"6717","Popular Attitudes toward Markets and Democracy: Russia and United States Compared 25 Years Later","We repeat a survey we did in the waning days of the Soviet Union (Shiller, Boycko and Korobov, AER 1991) comparing attitudes towards free markets between Moscow and New York. Additional survey questions, from Gibson Duch and Tedin (J. Politics 1992) are added to compare attitudes towards democracy. Two comparisons are made: between countries, and through time, to explore the existence of international differences in allegiance to democratic free-market institutions, and the stability of these differences.",2016,"AER","No Woman"
